MarketID,CompanyID,Year,MarketVolatility,MarketCap (T),DividendYield (%)
1,1,2020,Medium,1.5,2.0
2,2,2020,High,2.0,1.5
3,3,2020,Medium,1.8,2.2
4,4,2020,Low,1.7,1.8
5,5,2020,High,3.0,2.5
6,6,2020,Medium,0.8,1.2
7,7,2020,Medium,1.2,1.7
8,8,2020,High,1.5,0.5
9,9,2020,Medium,0.9,2.3
10,10,2020,Low,1.1,0.8
11,11,2020,Medium,0.6,1.1
12,12,2020,Medium,1.4,1.9
13,13,2020,High,0.3,0.0
14,14,2020,Medium,1.0,1.5
15,15,2020,Low,1.6,0.0
16,16,2020,Low,1.4,0.8
17,17,2020,High,0.5,0.0
18,18,2020,High,0.9,0.2
19,19,2020,Low,1.0,0.0
20,20,2020,Medium,1.7,0.0
